Date,Sales
2014-02-06,71245
2014-02-07,70382
2014-02-08,61520
2014-02-09,67712
2014-02-10,63812
2014-02-11,57526
2014-02-12,58037
2014-02-13,58631
2014-02-14,67529
2014-02-15,61993
2014-02-16,62714
2014-02-17,91827
2014-02-18,76121
2014-02-19,70802
2014-02-20,69368
2014-02-21,69439
2014-02-22,59320
2014-02-23,66040
2014-02-24,60477
2014-02-25,56483
2014-02-26,57243
2014-02-27,60312
2014-02-28,79569
2014-03-01,72067
2014-03-02,70647
2014-03-03,100650
2014-03-04,80039
2014-03-05,78431
2014-03-06,72128
2014-03-07,75491
2014-03-08,60169
2014-03-09,69259
2014-03-10,60663
2014-03-11,58828
2014-03-12,57204
2014-03-13,56381
2014-03-14,61785
2014-03-15,62793
2014-03-16,60315
2014-03-17,87345
2014-03-18,72059
2014-03-19,73105
2014-03-20,64027
2014-03-21,69311
2014-03-22,61223
2014-03-23,64849
2014-03-24,64214
2014-03-25,58537
2014-03-26,56967
2014-03-27,57222
2014-03-28,64680
2014-03-29,60410
2014-03-30,60768
2014-03-31,103440
2014-04-01,86483
2014-04-02,79495
2014-04-03,75207
2014-04-04,77723
2014-04-05,64915
2014-04-06,72610
2014-04-07,65520
2014-04-08,61901
2014-04-09,59267
2014-04-10,62889
2014-04-11,63956
2014-04-12,63889
2014-04-13,63574
2014-04-14,99553
2014-04-15,91919
2014-04-16,88636
2014-04-17,94363
2014-04-18,91636
2014-04-19,81037
2014-04-20,58464
2014-04-21,27008
2014-04-22,68942
2014-04-23,57782
2014-04-24,57537
2014-04-25,58207
2014-04-26,59151
2014-04-27,58294
2014-04-28,91187
2014-04-29,82628
2014-04-30,99518
2014-05-01,91108
2014-05-02,104802
2014-05-03,70870
2014-05-04,58555
2014-05-05,98412
2014-05-06,82109
2014-05-07,77902
2014-05-08,74372
2014-05-09,78672
2014-05-10,66761
2014-05-11,73266
2014-05-12,64366
2014-05-13,60775
2014-05-14,60168
2014-05-15,59471
2014-05-16,64287
2014-05-17,60143
2014-05-18,61296
2014-05-19,89862
2014-05-20,75328
2014-05-21,69679
2014-05-22,68115
2014-05-23,75946
2014-05-24,60694
2014-05-25,68247
2014-05-26,66407
2014-05-27,61431
2014-05-28,72812
2014-05-29,66880
2014-05-30,97391
2014-05-31,72817
2014-06-01,56732
2014-06-02,107576
2014-06-03,89305
2014-06-04,82700
2014-06-05,79377
2014-06-06,84232
2014-06-07,70081
2014-06-08,77893
2014-06-09,51436
2014-06-10,73470
2014-06-11,67311
2014-06-12,66321
2014-06-13,68045
2014-06-14,66975
2014-06-15,67111
2014-06-16,94275
2014-06-17,80110
2014-06-18,79018
2014-06-19,79292
2014-06-20,82155
2014-06-21,60608
2014-06-22,64305
2014-06-23,64911
2014-06-24,58478
2014-06-25,54881
2014-06-26,54582
2014-06-27,64534
2014-06-28,64605
2014-06-29,61237
2014-06-30,112804
2014-07-01,90176
2014-07-02,82983
2014-07-03,75624
2014-07-04,70349
2014-07-05,65164
2014-07-06,69387
2014-07-07,73337
2014-07-08,61333
2014-07-09,57750
2014-07-10,63218
2014-07-11,63596
2014-07-12,63212
2014-07-13,62824
2014-07-14,84034
2014-07-15,80868
2014-07-16,74455
2014-07-17,72881
2014-07-18,72226
2014-07-19,57194
2014-07-20,64782
2014-07-21,66298
2014-07-22,56197
2014-07-23,55376
2014-07-24,53527
2014-07-25,65484
2014-07-26,62721
2014-07-27,60468
2014-07-28,85619
2014-07-29,79540
2014-07-30,83129
2014-07-31,88677
2014-08-01,82641
2014-08-02,65121
2014-08-03,78762
2014-08-04,92526
2014-08-05,76989
2014-08-06,69681
2014-08-07,72988
2014-08-08,71095
2014-08-09,59575
2014-08-10,68064
2014-08-11,68150
2014-08-12,66783
2014-08-13,61523
2014-08-14,60779
2014-08-15,65823
2014-08-16,63299
2014-08-17,59610
2014-08-18,88785
2014-08-19,81344
2014-08-20,73579
2014-08-21,69010
2014-08-22,70572
2014-08-23,63198
2014-08-24,68970
2014-08-25,73824
2014-08-26,69832
2014-08-27,63510
2014-08-28,63752
2014-08-29,77190
2014-08-30,73099
2014-08-31,71441
2014-09-01,99010
2014-09-02,81394
2014-09-03,73851
2014-09-04,69939
2014-09-05,73335
2014-09-06,59581
2014-09-07,70154
2014-09-08,67498
2014-09-09,67575
2014-09-10,61826
2014-09-11,61071
2014-09-12,59607
2014-09-13,64117
2014-09-14,60985
2014-09-15,89330
2014-09-16,73995
2014-09-17,67257
2014-09-18,64522
2014-09-19,67608
2014-09-20,58293
2014-09-21,65166
2014-09-22,61936
2014-09-23,61251
2014-09-24,58569
2014-09-25,56488
2014-09-26,60217
2014-09-27,61952
2014-09-28,59042
2014-09-29,85676
2014-09-30,86732
2014-10-01,81453
2014-10-02,86097
2014-10-03,84758
2014-10-04,76292
2014-10-05,57897
2014-10-06,86935
2014-10-07,79435
2014-10-08,74915
2014-10-09,70168
2014-10-10,75035
2014-10-11,59831
2014-10-12,69268
2014-10-13,64514
2014-10-14,61067
2014-10-15,58440
2014-10-16,55885
2014-10-17,60045
2014-10-18,60035
2014-10-19,60387
2014-10-20,80569
2014-10-21,70311
2014-10-22,63306
2014-10-23,65551
2014-10-24,69022
2014-10-25,57125
2014-10-26,64562
2014-10-27,61244
2014-10-28,56403
2014-10-29,58351
2014-10-30,64403
2014-10-31,77750
2014-11-01,66022
2014-11-02,70454
2014-11-03,94216
2014-11-04,89666
2014-11-05,77799
2014-11-06,73534
2014-11-07,75692
2014-11-08,66221
2014-11-09,73615
2014-11-10,85878
2014-11-11,73647
2014-11-12,69342
2014-11-13,68336
2014-11-14,73261
2014-11-15,66229
2014-11-16,70428
2014-11-17,67231
2014-11-18,63266
2014-11-19,61424
2014-11-20,62871
2014-11-21,64927
2014-11-22,65406
2014-11-23,65091
2014-11-24,92760
2014-11-25,83737
2014-11-26,79000
2014-11-27,81531
2014-11-28,97431
2014-11-29,90987
2014-11-30,92061
2014-12-01,100821
2014-12-02,93331
2014-12-03,88387
2014-12-04,89209
2014-12-05,103001
2014-12-06,75327
2014-12-07,88602
2014-12-08,75096
2014-12-09,71888
2014-12-10,65901
2014-12-11,64546
2014-12-12,69603
2014-12-13,78604
2014-12-14,72970
2014-12-15,111761
2014-12-16,110530
2014-12-17,96188
2014-12-18,98926
2014-12-19,98542
2014-12-20,90284
2014-12-21,96222
2014-12-22,112678
2014-12-23,119292
2014-12-24,55117
2014-12-25,90470
2014-12-26,58132
2014-12-27,67410
2014-12-28,30237
2014-12-29,77557
2014-12-30,87440
2014-12-31,52112
2015-01-01,69702
2015-01-02,77890
2015-01-03,65577
2015-01-04,47818
2015-01-05,103512
2015-01-06,78501
2015-01-07,81305
2015-01-08,68724
2015-01-09,70378
2015-01-10,65541
2015-01-11,68211
2015-01-12,88257
2015-01-13,78147
2015-01-14,72510
2015-01-15,68581
2015-01-16,79182
2015-01-17,66562
2015-01-18,71438
2015-01-19,62406
2015-01-20,57446
2015-01-21,59265
2015-01-22,57862
2015-01-23,63266
2015-01-24,60095
2015-01-25,60406
2015-01-26,84197
2015-01-27,73894
2015-01-28,71319
2015-01-29,73428
2015-01-30,87760
2015-01-31,72176
2015-02-01,77785
2015-02-02,93247
2015-02-03,78614
2015-02-04,76624
2015-02-05,73405
2015-02-06,76293
2015-02-07,64358
2015-02-08,71350
2015-02-09,64306
2015-02-10,62270
2015-02-11,62478
2015-02-12,61261
2015-02-13,69905
2015-02-14,68551
2015-02-15,66568
2015-02-16,93799
2015-02-17,76641
2015-02-18,73628
2015-02-19,71336
2015-02-20,74953
2015-02-21,64470
2015-02-22,70249
2015-02-23,61755
2015-02-24,63080
2015-02-25,60707
2015-02-26,63822
2015-02-27,79347
2015-02-28,78208
2015-03-01,73789
2015-03-02,100836
2015-03-03,85031
2015-03-04,77321
2015-03-05,76851
2015-03-06,79169
2015-03-07,68415
2015-03-08,74808
2015-03-09,68017
2015-03-10,62089
2015-03-11,62225
2015-03-12,62750
2015-03-13,66590
2015-03-14,67760
2015-03-15,65696
2015-03-16,99679
2015-03-17,81363
2015-03-18,75019
2015-03-19,75256
2015-03-20,75374
2015-03-21,65254
2015-03-22,71957
2015-03-23,68598
2015-03-24,60113
2015-03-25,61627
2015-03-26,61147
2015-03-27,68133
2015-03-28,69656
2015-03-29,66309
2015-03-30,100232
2015-03-31,97215
2015-04-01,105604
2015-04-02,107254
2015-04-03,103354
2015-04-04,94643
2015-04-05,67297
2015-04-06,31545
2015-04-07,79282
2015-04-08,66233
2015-04-09,61813
2015-04-10,63195
2015-04-11,66594
2015-04-12,63863
2015-04-13,99394
2015-04-14,81212
2015-04-15,71726
2015-04-16,76601
2015-04-17,79774
2015-04-18,66989
2015-04-19,74451
2015-04-20,65797
2015-04-21,58550
2015-04-22,60669
2015-04-23,61525
2015-04-24,62831
2015-04-25,64926
2015-04-26,63089
2015-04-27,96437
2015-04-28,82733
2015-04-29,85975
2015-04-30,104828
2015-05-01,91177
2015-05-02,92322
2015-05-03,65712
2015-05-04,102013
2015-05-05,82736
2015-05-06,82417
2015-05-07,76069
2015-05-08,82177
2015-05-09,72113
2015-05-10,76784
2015-05-11,68066
2015-05-12,65379
2015-05-13,80371
2015-05-14,71268
2015-05-15,81235
2015-05-16,67698
2015-05-17,49641
2015-05-18,95987
2015-05-19,81728
2015-05-20,77710
2015-05-21,78143
2015-05-22,77749
2015-05-23,69969
2015-05-24,75285
2015-05-25,49236
2015-05-26,78482
2015-05-27,68017
2015-05-28,66008
2015-05-29,80471
2015-05-30,77337
2015-05-31,74602
2015-06-01,100485
2015-06-02,87896
2015-06-03,85155
2015-06-04,82794
2015-06-05,87848
2015-06-06,68278
2015-06-07,69490
2015-06-08,76179
2015-06-09,66935
2015-06-10,63653
2015-06-11,62947
2015-06-12,67114
2015-06-13,66692
2015-06-14,65580
2015-06-15,105079
2015-06-16,87386
2015-06-17,78024
2015-06-18,73415
2015-06-19,80181
2015-06-20,64920
2015-06-21,72836
2015-06-22,65065
2015-06-23,58903
2015-06-24,60847
2015-06-25,58357
2015-06-26,62891
2015-06-27,64467
2015-06-28,61902
2015-06-29,104059
2015-06-30,103595
2015-07-01,90256
2015-07-02,84604
2015-07-03,84504
2015-07-04,64801
2015-07-05,77968
2015-07-06,79126
2015-07-07,66036
2015-07-08,70816
2015-07-09,68170
2015-07-10,70686
2015-07-11,64727
2015-07-12,67858
2015-07-13,101173
2015-07-14,85941
2015-07-15,86886
2015-07-16,81927
2015-07-17,77242
2015-07-18,68540
2015-07-19,75899
2015-07-20,73811
2015-07-21,62143
2015-07-22,61235
2015-07-23,66935
2015-07-24,63699
2015-07-25,61679
2015-07-26,64101
2015-07-27,95402
2015-07-28,82582
2015-07-29,78795
2015-07-30,79610
2015-07-31,96078
